"_id","entity","user_id","date","request","action","operation","taskName","object_id","set_id","givDuration","givFreeTime","__v"
"5706a6956e5aaa9f40000370","user","ertest","Thu Apr 07 2016 21:27:33 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","4","A","02:00","01:00","0"
"5706a6956e5aaa9f40000371","user","ertest","Thu Apr 07 2016 21:27:33 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","5","A","02:00","01:00","0"
"5706a6aa6e5aaa9f40000372","user","ertest","Thu Apr 07 2016 21:27:54 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"5706a6aa6e5aaa9f40000373","user","ertest","Thu Apr 07 2016 21:27:54 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"5706a6aa6e5aaa9f40000374","user","ertest","Thu Apr 07 2016 21:27:54 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","10:00","01:00","0"
"5706a6aa6e5aaa9f40000375","user","ertest","Thu Apr 07 2016 21:27:54 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","4","A","02:00","01:00","0"
"5706a6aa6e5aaa9f40000376","user","ertest","Thu Apr 07 2016 21:27:54 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","5","A","02:00","01:00","0"
"570948006e5aaa9f40000449","user","ertest","Sat Apr 09 2016 21:20:48 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"570948006e5aaa9f4000044a","user","ertest","Sat Apr 09 2016 21:20:48 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"570948006e5aaa9f4000044b","user","ertest","Sat Apr 09 2016 21:20:48 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","10:00","01:00","0"
"570948016e5aaa9f4000044c","user","ertest","Sat Apr 09 2016 21:20:49 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","4","A","02:00","01:00","0"
